Date,Category,Publisher,Heading,URL,,,,,,,
2020-01-01,Violent Crime,The Star,"With 292 people shot, 2019 comes to a close as Toronto’s bloodiest year on record for overall gun violence",https://www.thestar.com/news/gta/2019/12/31/with-291-people-shot-2019-is-closing-as-torontos-bloodiest-year-on-record-for-overall-gun-violence.html,,,,,,,
2020-01-01,Violent Crime,The Star,Two men shot overnight in North York,https://www.thestar.com/news/crime/2019/12/31/two-men-shot-overnight-in-north-york.html,,,,,,,
2020-01-01,Violent Crime,The Star,Six arrested after downtown home invasion on Boxing Day,https://www.thestar.com/news/gta/2019/12/31/six-arrested-after-downtown-home-invasion-on-boxing-day.html,,,,,,,
2020-01-04,Violent Crime,The Star,"Toronto police ID last homicide victim of 2019, a man shot on New Year’s Eve in Scarborough parking lot",https://www.thestar.com/news/crime/2020/01/02/toronto-police-id-last-homicide-victim-of-2019-a-man-shot-on-new-years-eve-in-scarborough-parking-lot.html,,,,,,,
2020-01-04,Traffic,The Star,"SIU clears police after a car they initially chased collides with another vehicle, killing 77-year-old man",https://www.thestar.com/news/gta/2020/01/02/siu-clears-police-after-77-year-old-man-killed-in-scarborough-crash.html,,,,,,,
2020-01-05,Traffic,The Star,Man dead following hit-and-run at Jarvis and Gerrard,https://www.thestar.com/news/gta/2020/01/04/man-in-critical-condition-following-alleged-hit-and-run-at-jarvis-and-gerrard.html,,,,,,,
2020-01-07,Community Policing & Demographics,The Star,"Mornelle Court residents took ‘our community back’ from gun violence. Now grades are up, crime is down and police services are taking note",https://www.thestar.com/news/gta/2020/01/06/mornelle-court-residents-took-our-community-back-from-gun-violence-now-grades-are-up-crime-is-down-and-police-services-are-taking-note.html,,,,,,,
2020-01-07,Community Policing & Demographics,The Star,Do you recognize this dog? She was found zipped into a suitcase and left for dead near Lambton Arena,https://www.thestar.com/news/gta/2020/01/06/dog-rescued-after-she-was-abandoned-zipped-shut-in-suitcase-near-lambton-arena.html,,,,,,,
2020-01-07,Community Policing & Demographics,The Star,City hall security upgrades could include metal detectors,https://www.thestar.com/news/gta/2020/01/06/city-hall-security-upgrades-could-include-metal-detectors.html,,,,,,,
2020-01-07,Race-Based Data Collection,The Star,"Black youth more likely to be charged and less likely to be cautioned for minor crimes, study of Durham police data finds",https://www.thestar.com/news/gta/2020/01/06/black-youth-more-likely-to-be-charged-and-less-likely-to-be-cautioned-for-minor-crimes-study-of-durham-police-data-finds.html,,,,,,,
2020-01-07,Community Policing & Demographics,The Star,"Crime Stoppers stops giving rewards, says will invest in communities instead",https://www.thestar.com/news/gta/2020/01/06/crime-stoppers-stops-giving-rewards-says-will-invest-in-communities-instead.html,,,,,,,
2020-01-08,Violent Crime,The Star,Toronto police arrest three Brampton teens after a spree of carjackings across GTA,https://www.thestar.com/news/crime/2020/01/07/toronto-police-arrest-three-brampton-teens-after-a-spree-of-carjackings-across-gta.html,,,,,,,
2020-01-08,Traffic,The Star,Weekend hit-and-run deaths raise a question: Why don’t Toronto police name traffic victims?,https://www.thestar.com/news/gta/2020/01/07/weekend-hit-and-run-deaths-raise-a-question-why-dont-toronto-police-name-traffic-victims.html,,,,,,,
2020-01-09,Traffic,The Star,Toronto police release video in investigation into pedestrian death,https://www.thestar.com/news/gta/2020/01/08/toronto-police-release-video-in-investigation-into-pedestrian-death.html,,,,,,,
2020-01-11,Violent Crime,The Star,"Man killed outside Scarborough building was ‘heart of my family,’ sister says",https://www.thestar.com/news/gta/2020/01/10/man-killed-outside-scarborough-building-was-heart-of-my-family-sister-says.html,,,,,,,
